solvent,SMILES,Property_0,Value_0,Property_1,Value_1,Property_2,Value_2,Property_3,Value_3,Property_4,Value_4,Property_5,Value_5,Property_6,Value_6,Property_7,Value_7,Property_8,Value_8,Property_9,Value_9,Property_10,Value_10,Property_11,Value_11
halohydrocarbon,Fc1c(F)c(F)c(F)c(F)c1F,ET30,-1.065840016970907,SA,-0.5946880464923098,beta,-1.4391708786169657,pi_star,-0.9294467574131804,SdP,-0.7452919343594235,SP,-1.115229722872725,alpha,-0.5661661976383421,n,-0.8799978270475266,delta,-0.8825781279754208,N_mol_cm3,-0.23595228237495436,fn,-0.7120497260349752,SB,-1.0271008888696995
carboxylic_acid,O=CO,N_mol_cm3,4.945663258677188,n,-0.9702672890029587,alpha,2.248065623110723,SB,,SA,,beta,-0.2411125094758418,delta,,fn,-0.7928696486033593,ET30,,SP,,pi_star,0.3256127761135411,SdP,
monohydric_alcohol,CC(C)CO,SdP,0.5367986378047531,SP,-0.7215430233441402,SA,0.8906293460524782,delta,0.7521371277561254,ET30,0.9805728156132344,SB,1.3048293740251464,alpha,1.2413485490216267,pi_star,-0.6549024844542101,N_mol_cm3,0.38270473009371514,fn,-0.44680138999906527,beta,1.2897398510933717,n,-0.5817862116590491
alkane,C1CCC2CCCCC2C1,delta,,SA,-0.5946880464923098,alpha,,n,,N_mol_cm3,-0.9243171272344598,beta,,SdP,-1.4931781014551933,SB,-1.2343104890987198,fn,,SP,0.28583176662606075,pi_star,,ET30,
aromatic,Cc1ccccc1C,N_mol_cm3,-0.34341852397749284,SP,0.8300457336214574,ET30,,fn,1.0002726990040367,n,1.118825973394163,alpha,,SdP,-0.703742702854103,pi_star,,SB,-0.9021173204775922,SA,-0.5946880464923098,beta,,delta,-0.4946795927170881
ester,CCCOC(C)=O,N_mol_cm3,-0.22142981729352978,SdP,0.1658233565072483,alpha,-0.5661661976383421,fn,-0.6399742541051374,beta,-0.17455371119022375,SB,0.3838978174517237,pi_star,,ET30,-0.5968704095037084,SA,-0.5946880464923098,n,-0.7994000931587505,delta,-0.60550774564804,SP,-0.5710157558773283
ester,C=CC(=O)OC,SP,,N_mol_cm3,0.45241256248455136,ET30,-0.4121248065620849,beta,,SdP,,n,-0.5350395260035559,SA,,fn,-0.4054639869804817,alpha,,delta,,SB,,pi_star,
amine,Nc1ccccc1,N_mol_cm3,0.4291766183542726,SP,2.3700554700126846,alpha,0.028712073414305834,SB,-0.5501899042156054,n,2.48898744950339,delta,1.084621586548983,pi_star,0.6393776594952213,SdP,1.3440408499081231,fn,2.0864394616525845,beta,0.1582402802378661,ET30,0.369491205883247,SA,0.03573605580965818
monohydric_alcohol,CCCC(C)O,alpha,,SdP,0.4804103950475323,SP,-0.6057528176004388,n,-0.4238146532370439,SA,0.3796037479743679,ET30,0.6821376108613801,beta,,fn,-0.307685129840371,SB,1.5942650060910795,pi_star,,N_mol_cm3,-0.08201415251185791,delta,
ether,CCCOCCC,fn,-0.6558732552661315,SP,-0.8604912702365819,SA,-0.5946880464923098,SB,0.7720046877219519,beta,0.025122683666630192,n,-0.8171315946142796,delta,-1.270476663233754,ET30,-1.094262417423465,alpha,-0.5661661976383421,N_mol_cm3,-0.6193453605245521,SdP,-0.6443866578465023,pi_star,-1.1647704199494406
